RTOM,SOD NO,Service,Order Type,Time Range 
R-KI,KWL202007010092897,AB-CAB,CREATE,T>1M
R-KI,DG202007020020177,AB-CAB,CREATE,T>1M
R-KI,KWL202007020020222,AB-CAB,CREATE,T>1M
R-KI,IHA202007030051956,AB-CAB,CREATE,T>1M
R-KI,DG202007070036541,AB-CAB,CREATE,T>1M
R-KI,VR202007080073680,AB-CAB,CREATE,T>1M
R-KI,VR202007090098974,AB-CAB,CREATE,T>1M
R-KI,VR202007090001474,AB-CAB,CREATE,T>1M
R-KI,VR202007150038068,AB-CAB,CREATE,T>1M
R-KI,KWL202007160095464,AB-CAB,CREATE,T>1M
R-KI,SIY202007270071759,AB-CAB,CREATE,T>1M
R-KI,GIR202007270081217,AB-CAB,CREATE,T>1M
R-KI,KWL202007300083559,AB-CAB,CREATE,T>1M
R-KI,KDW202007300089883,AB-CAB,CREATE,T>1M
R-KI,VR202008010035164,AB-CAB,CREATE,T>1M
R-KI,VR202008020043584,AB-CAB,CREATE,T>1M
R-KI,BIA202008070006085,AB-CAB,CREATE,T>1M
R-KI,VR202008120000804,AB-CAB,CREATE,T>1M
R-KI,MAN202008130044567,AB-CAB,CREATE,T>1M
R-KI,KI202008150089898,AB-CAB,CREATE,T>1M
R-KI,KWL202008160099749,AB-CAB,CREATE,T>1M
R-KI,VR202008180059120,AB-CAB,CREATE,T>1M
