RTOM,SOD NO,Service,Order Type,Time Range,Task Name, Work Group, Assign Date 
R-ND,KIR202203180006099,AB-FTTH,CREATE-UPGRD SAME NO,10D<T<=1M,RESOLVE CONST ISSUE,ND-CNR,23-MAR-22
R-ND,KIR202204070097256,AB-FTTH,CREATE,T<=7D,RESOLVE CONST ISSUE,ND-RTOFFICE,08-APR-22
R-ND,ND202204060056427,AB-FTTH,CREATE,T<=7D,CONFIRM  W CUSTOMER,ND-RTOFFICE,08-APR-22
R-ND,EMU202002120082124,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,06-MAR-20
R-ND,GNA202203260056782,AB-FTTH,CREATE-UPGRD SAME NO,10D<T<=1M,RESOLVE CONST ISSUE,ND-CNR,29-MAR-22
R-ND,GNA202005190075476,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,21-MAY-20
R-ND,BS202101250099225,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,WAIT NOTIFY CUSTOMER,ND-RTOFFICE,02-FEB-21
R-ND,ND202108060028059,AB-FTTH,CREATE-UPGRD SAME NO,T>1M,RESOLVE CONST ISSUE,SALES-ENT-MB-ACCM,09-AUG-21
R-ND,ND202203190020661,AB-FTTH,CREATE-UPGRD SAME NO,10D<T<=1M,RESOLVE CONST ISSUE,ND-CNR,20-MAR-22
R-ND,GNA202203190024102,AB-FTTH,CREATE-UPGRD SAME NO,10D<T<=1M,RESOLVE CONST ISSUE,ND-CNR,25-MAR-22
R-ND,KAU202204080041471,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,CONSTRUCT OSP,ND-CPE-NC,08-APR-22
R-ND,BS202204050035198,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,RESOLVE CONST ISSUE,ND-CNR,06-APR-22
R-ND,BS202204020061541,AB-FTTH,CREATE-UPGRD SAME NO,T<=7D,RESOLVE CONST ISSUE,ND-CNR,06-APR-22
R-ND,ND202203190024113,AB-FTTH,CREATE-UPGRD SAME NO,10D<T<=1M,RESOLVE CONST ISSUE,ND-CNR,24-MAR-22
